,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_nu,gamma_u,timestep
255,2.359869241556597,0.0,2.359869241556597,0.187652439533863,2.172216802022734,0 days 00:00:51.182271000,0.01,0.01,0.004,0.05,3.1
256,2.729469148825712,0.0,2.729469148825712,0.557252346802978,2.172216802022734,0 days 00:00:50.453096000,0.02,0.01,0.004,0.05,3.1
257,3.2677657561470355,0.01677365322714218,3.2845394093741778,1.1290962605785841,2.172216802022734,0 days 00:00:51.791736000,0.03,0.01,0.004,0.05,3.1
258,3.8358516331429393,0.1223761374366684,3.9582277705796076,1.9083871059935433,2.172216802022734,0 days 00:00:51.458125000,0.04,0.01,0.004,0.05,3.1
259,4.379628673927486,0.34661753295847914,4.726246206885965,2.9006469378217097,2.172216802022734,0 days 00:00:50.918539000,0.05,0.01,0.004,0.05,3.1
260,2.3571869953061375,0.004905013011724086,2.3620920083178616,0.1947802193068514,2.172216802022734,0 days 00:00:50.943997000,0.01,0.01,0.004,0.06,3.1
261,2.6252750345358558,0.08582325311745635,2.711098287653312,0.624704738748035,2.172216802022734,0 days 00:00:52.196475000,0.02,0.01,0.004,0.06,3.1
262,2.8594196899522646,0.31065791968818657,3.170077609640451,1.3085187273059027,2.172216802022734,0 days 00:00:52.117311000,0.03,0.01,0.004,0.06,3.1
263,3.087808552206063,0.669203550667785,3.757012102873848,2.2539988515189,2.172216802022734,0 days 00:00:50.794757000,0.04,0.01,0.004,0.06,3.1
264,3.404803366015133,1.117875558236488,4.522678924251621,3.4683376804653765,2.172216802022734,0 days 00:00:51.819898000,0.05,0.01,0.004,0.06,3.1
265,2.157092559296032,0.11147404677435253,2.268566606070385,0.20782385082200222,2.172216802022734,0 days 00:00:50.800806000,0.01,0.01,0.004,0.07,3.1
266,2.126023902190972,0.37340523939360254,2.499429141584575,0.7006175789554434,2.172216802022734,0 days 00:00:51.329810000,0.02,0.01,0.004,0.07,3.1
267,2.0928815171033976,0.7876018319639495,2.8804833490673474,1.4958683790085645,2.172216802022734,0 days 00:00:50.833289000,0.03,0.01,0.004,0.07,3.1
268,2.4279031843363175,1.1732889685019419,3.6011921528382596,2.602264319317468,2.172216802022734,0 days 00:00:51.148922000,0.04,0.01,0.004,0.07,3.1
269,3.300496096384351,1.448577399998005,4.749073496382356,4.025434094357628,2.172216802022734,0 days 00:00:50.468832000,0.05,0.01,0.004,0.07,3.1
270,1.9482204960341614,0.22399630598857273,2.172216802022734,0.22399630598857273,2.172216802022734,0 days 00:00:51.303487000,0.01,0.01,0.004,0.08,3.1
271,1.6543667471984063,0.6480209113913381,2.3023876585897445,0.7781917679583499,2.172216802022734,0 days 00:00:51.093276000,0.02,0.01,0.004,0.08,3.1
272,1.8439366643807507,1.003267506133966,2.8472041705147166,1.67825487462595,2.172216802022734,0 days 00:00:51.047573000,0.03,0.01,0.004,0.08,3.1
273,2.5607855857795636,1.2711642176868374,3.831949803466401,2.930897219130507,2.172216802022734,0 days 00:00:51.524773000,0.04,0.01,0.004,0.08,3.1
274,3.701024950842828,1.5031414832863852,5.204166434129213,4.535091115392865,2.172216802022734,0 days 00:00:49.618377000,0.05,0.01,0.004,0.08,3.1
275,1.9313054316379663,0.2411110583113102,2.1724164899492764,0.2413107462378527,2.172216802022734,0 days 00:00:50.788004000,0.01,0.01,0.004,0.09,3.1
276,1.681986279370061,0.6715207164381446,2.3535069958082055,0.8528109102236154,2.172216802022734,0 days 00:00:51.814125000,0.02,0.01,0.004,0.09,3.1
277,2.0046990917404557,1.0072997737699887,3.0119988655104444,1.8470818372576974,2.172216802022734,0 days 00:00:52.183699000,0.03,0.01,0.004,0.09,3.1
278,2.860206885160599,1.268571036398259,4.128777921558858,3.2251321559343866,2.172216802022734,0 days 00:00:51.115427000,0.04,0.01,0.004,0.09,3.1
