,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_ny,gamma_u,timestep
116,2.0459010166404834,0.2661668958695302,2.3120679125100136,0.4060180063568088,2.172216802022734,0 days 00:00:51.172081000,0.015,0.01,0.005,0.06,3.1
117,2.0224735717437516,0.3399773185182949,2.3624508902620467,0.5302114067576078,2.172216802022734,0 days 00:00:51.586964000,0.0175,0.01,0.005,0.06,3.1
118,1.997907294222694,0.4228385799015528,2.420745874124247,0.6713676520030654,2.172216802022734,0 days 00:00:51.415178000,0.02,0.01,0.005,0.06,3.1
119,1.97213079167449,0.514901801328675,2.487032593003165,0.8297175923091061,2.172216802022734,0 days 00:00:50.020944000,0.0225,0.01,0.005,0.06,3.1
120,1.785446361898758,0.43025601132214397,2.215702373220902,0.4737415825203113,2.172216802022734,0 days 00:00:50.827590000,0.015,0.01,0.005,0.075,3.1
121,1.735520546232231,0.5314231195574923,2.2669436657897233,0.6261499833244821,2.172216802022734,0 days 00:00:50.134336000,0.0175,0.01,0.005,0.075,3.1
122,1.698749120524754,0.6368017870172071,2.335550907541961,0.8001358925364352,2.172216802022734,0 days 00:00:59.853751000,0.02,0.01,0.005,0.075,3.1
123,1.7109187506537396,0.7286045151839201,2.4395232658376598,0.9959109789988463,2.172216802022734,0 days 00:00:59.286501000,0.0225,0.01,0.005,0.075,3.1
124,1.9312509451638864,0.36860178233029056,2.299852727494177,0.4962377078017331,2.172216802022734,0 days 00:00:52.564077000,0.015,0.01,0.005,0.08,3.1
125,1.9153002765411504,0.45711061572685835,2.3724108922680087,0.6573047059721335,2.172216802022734,0 days 00:00:50.936448000,0.0175,0.01,0.005,0.08,3.1
126,1.9066731957145535,0.5533975267448584,2.460070722459412,0.8412514471815362,2.172216802022734,0 days 00:00:51.181696000,0.02,0.01,0.005,0.08,3.1
127,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:51.383123000,0.0225,0.01,0.005,0.08,3.1
128,1.920475856495578,0.321916916859631,2.242392773355209,0.3920928881921063,2.172216802022734,0 days 00:00:50.758241000,0.015,0.01,0.006,0.05,3.1
129,1.8794976155061396,0.399214815901782,2.2787124314079215,0.5057104452869692,2.172216802022734,0 days 00:00:51.913307000,0.0175,0.01,0.006,0.05,3.1
130,1.841329025137141,0.4824689070976514,2.3237979322347924,0.6340500373097094,2.172216802022734,0 days 00:00:56.971336000,0.02,0.01,0.006,0.05,3.1
131,1.8109188281723447,0.5693047563628764,2.380223584535221,0.7773115388753645,2.172216802022734,0 days 00:00:54.543377000,0.0225,0.01,0.006,0.05,3.1
132,1.8319913127595346,0.3906684507108599,2.2226597634703946,0.44111141215852107,2.172216802022734,0 days 00:00:53.215289000,0.015,0.01,0.006,0.06,3.1
133,1.784702794481261,0.48210625450790884,2.26680904898917,0.5766985014743441,2.172216802022734,0 days 00:00:50.112196000,0.0175,0.01,0.006,0.06,3.1
134,1.7487658828350217,0.5770922461928475,2.325858129027869,0.7307335731979832,2.172216802022734,0 days 00:00:48.918388000,0.02,0.01,0.006,0.06,3.1
135,1.7330120656197403,0.671301914228369,2.4043139798481095,0.9033990920537437,2.172216802022734,0 days 00:00:49.322625000,0.0225,0.01,0.006,0.06,3.1
136,2.336762685330177,0.1752048298904313,2.5119675152206082,0.5149555430883072,2.172216802022734,0 days 00:00:49.594940000,0.015,0.01,0.006,0.075,3.1
137,2.3816801261157674,0.2353274666695799,2.617007592785347,0.6801182574321932,2.172216802022734,0 days 00:00:48.932408000,0.0175,0.01,0.006,0.075,3.1
138,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:49.395389000,0.02,0.01,0.006,0.075,3.1
139,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:49.424447000,0.0225,0.01,0.006,0.075,3.1
140,2.476395553745653,0.1167677256033236,2.5931632793489765,0.5377142029295645,2.172216802022734,0 days 00:00:49.798200000,0.015,0.01,0.006,0.08,3.1
141,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:49.588943000,0.0175,0.01,0.006,0.08,3.1
142,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:50.062718000,0.02,0.01,0.006,0.08,3.1
143,2.7016802665071546,0.30059906141699655,3.002279327924151,1.130661587318413,2.172216802022734,0 days 00:00:49.509075000,0.0225,0.01,0.006,0.08,3.1
144,2.523223356239247,0.0,2.523223356239247,0.3510065542165131,2.172216802022734,0 days 00:00:49.481499000,0.015,0.011,0.004,0.05,3.1
145,2.620855416934922,0.0,2.620855416934922,0.4486386149121878,2.172216802022734,0 days 00:00:49.384266000,0.0175,0.011,0.004,0.05,3.1
146,2.7306407800397543,0.0,2.7306407800397543,0.55842397801702,2.172216802022734,0 days 00:00:49.585502000,0.02,0.011,0.004,0.05,3.1
147,2.852738666291461,0.0,2.852738666291461,0.6805218642687271,2.172216802022734,0 days 00:00:49.542488000,0.0225,0.011,0.004,0.05,3.1
148,2.549116205662957,0.0,2.549116205662957,0.37689940364022284,2.172216802022734,0 days 00:00:48.998917000,0.015,0.011,0.004,0.06,3.1
149,2.662056687787043,0.0,2.662056687787043,0.4898398857643088,2.172216802022734,0 days 00:00:48.868839000,0.0175,0.011,0.004,0.06,3.1
150,2.7901506714086137,0.0,2.7901506714086137,0.6179338693858795,2.172216802022734,0 days 00:00:48.939930000,0.02,0.011,0.004,0.06,3.1
151,2.9336007749614748,0.0,2.9336007749614748,0.7613839729387404,2.172216802022734,0 days 00:00:48.837698000,0.0225,0.011,0.004,0.06,3.1
152,2.534355661133106,0.034356554442954754,2.568712215576061,0.43085196799628184,2.172216802022734,0 days 00:00:49.382696000,0.015,0.011,0.004,0.075,3.1
153,2.611517491257343,0.06436363157989045,2.6758811228372332,0.5680279523943896,2.172216802022734,0 days 00:00:49.024826000,0.0175,0.011,0.004,0.075,3.1
154,2.6884254656964055,0.10418405394496656,2.7926095196413723,0.7245767715636056,2.172216802022734,0 days 00:00:48.996999000,0.02,0.011,0.004,0.075,3.1
155,2.7709560074656636,0.15100662110429086,2.9219626285699545,0.9007524476515111,2.172216802022734,0 days 00:00:48.930279000,0.0225,0.011,0.004,0.075,3.1
156,2.417684514290066,0.1025601829574029,2.520244697247469,0.4505880781821385,2.172216802022734,0 days 00:00:49.131493000,0.015,0.011,0.004,0.08,3.1
157,2.4676832719820636,0.15011474522123655,2.6177980172033,0.595695960401802,2.172216802022734,0 days 00:00:48.891200000,0.0175,0.011,0.004,0.08,3.1
158,2.5088840500739398,0.2123982716714345,2.7212823217453743,0.7614637913940743,2.172216802022734,0 days 00:00:48.963630000,0.02,0.011,0.004,0.08,3.1
159,2.5427488746195306,0.28881069126144576,2.8315595658809762,0.9481534551196873,2.172216802022734,0 days 00:00:49.412806000,0.0225,0.011,0.004,0.08,3.1
160,2.53890530677886,0.0,2.53890530677886,0.36668850475612585,2.172216802022734,0 days 00:00:48.808807000,0.015,0.011,0.005,0.05,3.1
161,2.641510343754428,0.0,2.641510343754428,0.46929354173169346,2.172216802022734,0 days 00:00:48.954859000,0.0175,0.011,0.005,0.05,3.1
162,2.756997276470864,0.0,2.756997276470864,0.5847804744481298,2.172216802022734,0 days 00:00:49.464297000,0.02,0.011,0.005,0.05,3.1
163,2.885547208583594,0.0,2.885547208583594,0.7133304065608596,2.172216802022734,0 days 00:00:49.056395000,0.0225,0.011,0.005,0.05,3.1
164,2.5564809524321492,0.007889375821461653,2.5643703282536108,0.4000429020523377,2.172216802022734,0 days 00:00:48.568575000,0.015,0.011,0.005,0.06,3.1
165,2.653881096649104,0.019326129258631582,2.6732072259077357,0.5203165531436341,2.172216802022734,0 days 00:00:49.818726000,0.0175,0.011,0.005,0.06,3.1
166,2.7518996461668728,0.038546749266832464,2.790446395433705,0.6567763426778038,2.172216802022734,0 days 00:00:49.231545000,0.02,0.011,0.005,0.06,3.1
167,2.850337691330786,0.06576089621706085,2.916098587547847,0.809642681742174,2.172216802022734,0 days 00:00:49.669273000,0.0225,0.011,0.005,0.06,3.1
168,2.162999938138777,0.23558500988796954,2.3985849480267465,0.4619531558919825,2.172216802022734,0 days 00:00:49.282081000,0.015,0.011,0.005,0.075,3.1
169,2.1567269423931617,0.3122266365839631,2.468953578977125,0.6089634135383544,2.172216802022734,0 days 00:00:48.465827000,0.0175,0.011,0.005,0.075,3.1
170,2.146025150609146,0.40142190597054034,2.5474470565796863,0.7766521605274916,2.172216802022734,0 days 00:00:49.163734000,0.02,0.011,0.005,0.075,3.1
171,2.130390273645468,0.5035430846567625,2.6339333583022304,0.9652596409362598,2.172216802022734,0 days 00:00:49.371867000,0.0225,0.011,0.005,0.075,3.1
172,1.9754943657810555,0.3400795327680996,2.315573898549155,0.48343662929452,2.172216802022734,0 days 00:00:48.410658000,0.015,0.011,0.005,0.08,3.1
173,1.9385091874221518,0.4363005323177411,2.374809719739893,0.6388934500349001,2.172216802022734,0 days 00:00:48.996242000,0.0175,0.011,0.005,0.08,3.1
174,1.8970898073540545,0.5457366751949043,2.4428264825489587,0.8163463557211305,2.172216802022734,0 days 00:00:48.809265000,0.02,0.011,0.005,0.08,3.1
